Waypoint Title	URL	Captive URL	Annotation Title	Annotation Text	Share View	Annotation Picture Path	Credits	Author	Dateline	Story Mode	Landscape override														
Medellin			Medellin	Strategies should be comprehensive and integrated. In Medellin, city authorities managed to drop the homicide rate from 381 per 100,000 in 1991 to about 16 per 100,000 today. This involved targeted community policing, municipal infrastructure improvements, better public transportation, and integrated public spaces such as “library parks” that combined green areas, community centers, and learning facilities.  Notice how the circles representing fragility get smaller over time.	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=6.25304,-75.56457,10,latLng&t=1.59&ps=50&l=blsat,uf&story=default&bt=19840101&et=20161231																				
Key Takeaway				What is the key takeaway? It takes many factors to render a city fragile, and overcoming fragility requires reimagining the urban landscape and accounting for all of those risks, not just a single one.	https://earthtime.org/#theme=default&story=default&waypoints=1ObAomZ0Y6t5-ztD6wVibyA1fVC09scfQIzj033R28vw&v=37.92784,-3.36529,0.173,latLng&t=1.93&startDwell=0&endDwell=0ps&l=blsat,lan&bt=20000101&et=20151231&ps=50																				
																									
##City Growth	https://earthtime.org/stories/City_Growth	https://earthtime.org/m/stories/City_Growth	City Growth	Rapid urbanization over the past three decades.	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=36.1315,-115.138,9.34,latLng&t=2.32&ps=50&l=blsat&startDwell=0			Story by: Ryan Hoffman, CREATE Lab <br> Data from: NOAA, Google		TRUE															
Shanghai			Shanghai	Shanghai, China outgrows its boundaries and merges with nearby cities to create a megacity of 25 million people. Notice how development engulfs green farmland surrounding the city. 	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=31.16634,121.5277,8.621,latLng&t=1.87&ps=50&l=blsat&story=default&bt=19840101&et=20161231&startDwell=0&reboot=1																				
Light Increase				This data overlay represents light usage, with red representing an increase in lights and green representing no change. Notice the increase in development around Shanghai.	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=31.06625,119.98843,5.771,latLng&t=0.33&ps=50&l=blsat,lan&story=default&bt=19840101&et=20161231&disableUI=true																				
Las Vegas			Las Vegas	The population of Las Vegas (US) quadruples from 500,000 to over 2 million. Notice how the landscape around and within the city changes. 	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=36.1315,-115.138,9.34,latLng&t=2.32&ps=50&l=blsat&startDwell=0&bt=19840101&et=20161231																				
Lake Mead			Lake Mead	The shrinking Lake Mead supplies 90% of the city's water. In 2013, water levels reached their lowest point since the construction of the Hoover Dam in the 1930's. This is due to both rapid urbanization and drought from higher temperatures.	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=36.07704,-114.7663,10.191,latLng&t=0.72&ps=50&l=blsat&startDwell=0&bt=19840101&et=20161231&story=default																				
Dallas Fort-Worth			Dallas Fort-Worth	In southern United States, the Dallas Fort-Worth area of Texas has doubled in both population and area since the 1980's.	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=32.75667,-96.87895,8.62,latLng&t=1.18&ps=50&l=blsat&startDwell=0																				
Outward Growth			Light Usage	Notice the outward development of Dallas Fort-Worth at the edges of the region, represented in red. This results in heavy commuter traffic around the region.	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=32.95047,-96.87895,7.25,latLng&t=0.25&ps=50&l=blsat,lan&startDwell=0																				
Seoul			Seoul	In contrast, Seoul, South Korea has doubled in population and decreased emissions, traffic and congestion through planned growth, including a transition to public transportation.	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=37.55649,126.8583,9.64,latLng&t=3.24&ps=50&l=blsat&story=default&bt=19840101&et=20161231&startDwell=0																				
City Expansion				Notice the increase in lights due the expansion of the city.  	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=37.33426,126.86544,6.858,latLng&t=0.60&ps=50&l=blsat,lan&story=default&bt=19840101&et=20161231&disableUI=true																				
Dubai			Dubai	Dubai, the largest city in the United Arab Emirates, built ports into the Persian Gulf to support its transportation industry.	https://earthtime.org/#theme=city_growth&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=25.09849,55.11432,9.8,latLng&t=0.83&ps=50&l=blsat&startDwell=0																				
																									
##Surface Water	https://earthtime.org/stories/Surface_Water	https://earthtime.org/m/stories/Surface_Water	Surface Water	Water consumption, Agriculture and New Bodies of Water	https://earthtime.org/#theme=big_picture_on_nature&story=default&v=6.1411,1.58464,0.629,latLng&t=0.08&ps=50&l=blsat&bt=19840101&et=20161231&endDwell=1.0			Story by: Alan Belward <br> Data from: JRC, Google																	
Global Trend			Global Trend	Globally, approximately 90,000 sq km (3475 sq mi) of once permanent lakes have vanished, and around 184,000 sq km (69498 sq mi) of new, permanent water bodies have come into existence.	https://earthtime.org/#theme=big_picture_on_nature&story=default&v=6.1411,1.58464,0.629,latLng&t=0.08&ps=50&l=blsat&bt=19840101&et=20161231&endDwell=1.0																				
Aral Sea			Aral Sea	Once the world's fourth largest saline lake, the Aral Sea is located between the southern part of Kazakhstan and North Uzbekistan. Notice the water changes from 1984 to 2016.	https://earthtime.org/#theme=surface_water&story=default&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=44.53441,59.27268,5.62,latLng&t=3.24&ps=50&l=blsat&bt=19840101&et=20161231&startDwell=0&endDwell=1.0																				
Water Diversion				This data represents Surface Water Increase (green) and Surface Water Decrease (red). The Aral Sea is completely red, as water sources feeding the lake were diverted to the green agricultural patches around it.  	https://earthtime.org/#theme=surface_water&story=default&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&startDwell=0&endDwell=1.0l&v=44.53441,59.27268,5.62,latLng&t=1.70&ps=0&bt=19840101&et=20161231&l=blsat,wc&disableUI=0																				
Lake Urmia			Lake Urmia	                                     Iran's Lake Urmia was once the world's sixth largest saltwater lake on Earth in 1984, but has since shrunk to about 10% of its original size. 	https://earthtime.org/#theme=surface_water&story=default&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=37.55071,45.65224,7.16,latLng&startDwell=0&endDwell=0&t=0.00&ps=50&l=blsat&bt=19840101&et=20161231																				
Water Loss				Like the Aral Sea, water sources that previously terminated in Lake Urmia were diverted to agricultural areas around the lake. Notice the water decrease represented in red.	https://earthtime.org/#theme=surface_water&story=default&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=37.55071,45.65224,7.16,latLng&startDwell=0&endDwell=1.0&t=1.48&ps=50&l=blsat,wc&bt=19840101&et=20161231&disableUI=true																				
Lake Manicouagan			Lake Manicouagan	This data overlay represents Water Occurrence Percentage (how often there is water) over a given area from 1984 to 2015. A crater created Canada's circular Lake Manicouagan. It is an unchanging dark blue, representing consistent surface water occurrence.	https://earthtime.org/#theme=default&story=default&waypoints=1MLyg8-aRsJ_7aF5K3VBfnHQ_Um5fJiG-XpdoemhPEpc&v=51.29874,-67.62682,6.409,latLng&startDwell=0&endDwell=1.0&t=0.78&ps=50&l=blsat,wo&bt=19840101&et=20161231&disableUI=true																				
Water Increase				 Surface Water Increase (represented in bright green) can be seen to the east of Lake Manicouagan. The construction of the Denis-Perron Dam on the Sainte-Marguerite River created this new lake in 1998. 	https://earthtime.org/#theme=default&story=default&waypoints=1MLyg8-aRsJ_7aF5K3VBfnHQ_Um5fJiG-XpdoemhPEpc&startDwell=0&endDwell=0&v=51.29874,-67.62682,6.409,latLng&t=0.75&startDwell=0&endDwell=1.0ps=0&l=blsat,wc&bt=19840101&et=20161231&disableUI=true																				
Tibetan Plateau			Tibet	In the Tibetan Plateau, a number of lakes have expanded in size over the past 30 years. Notice the green outlines, representing Surface Water Increase.	https://earthtime.org/#theme=default&story=default&waypoints=1MLyg8-aRsJ_7aF5K3VBfnHQ_Um5fJiG-XpdoemhPEpc&v=31.86425,88.94235,7.582,latLng&t=0.00&ps=0&l=blsat,wc&startDwell=0&endDwell=1.0bt=19840101&et=20161231&disableUI=true																				
Lake Growth				Notice the growth in surface area of the lakes. This Surface Water Increase has been linked to increased run-off from accelerated snow and glacial melt.  	https://earthtime.org/#theme=default&story=default&waypoints=1MLyg8-aRsJ_7aF5K3VBfnHQ_Um5fJiG-XpdoemhPEpc&v=31.86425,88.94235,7.582,latLng&startDwell=0&endDwell=1.0t=0.61&ps=50&l=blsat&bt=19840101&et=20161231																				
Brahmaputra River			Brahmaputra River	The Brahmaputra River (Asia) changes course over time causing both surface water Increase (green) and decrease (red). 	https://earthtime.org/#theme=default&story=default&waypoints=1MLyg8-aRsJ_7aF5K3VBfnHQ_Um5fJiG-XpdoemhPEpc&v=25.24671,89.7788,7.032,latLng&startDwell=0&endDwell=1.0&t=3.05&ps=0&l=blsat,wc&bt=19840101&et=20161231&disableUI=true																				
Braided River				The river's large discharge and sediment load cause long-term and short-term channel migrations, which give rise to the characteristic braided river system, represented by water occurrence data. Occupied and abandoned river channels are seen in the different degrees of water occurrence in the maps. 	https://earthtime.org/#theme=default&story=default&waypoints=1MLyg8-aRsJ_7aF5K3VBfnHQ_Um5fJiG-XpdoemhPEpc&v=25.74261,89.85673,8.781,latLng&t=3.24&ps=50&startDwell=0&endDwell=1.0&l=blsat,wo&bt=19840101&et=20161231																				
Mississippi River			 Mississippi River Delta	Dam construction and other changes in upstream river management on the Mississippi River Delta (US) lead to a reduction in the sediment load carried to the Delta area. This causes coastal retreat and the drowning of Delta wetland areas. Notice the increases in surface water represented in green.	https://earthtime.org/#theme=default&story=default&waypoints=1MLyg8-aRsJ_7aF5K3VBfnHQ_Um5fJiG-XpdoemhPEpc&v=29.32301,-89.23836,8.138,latLng&startDwell=0&endDwell=1.0t&ps=0&l=blsat,wc&bt=19840101&et=20161231&t=0.96&disableUI=true																				
Atchafalaya River				As a distributary of the Mississippi, Louisiana's Atchafalaya River flows away from the Mississippi and discharges a high sediment load into the bay area, resulting in land increase.  Notice the water decrease in red along the coast.	https://earthtime.org/#theme=default&story=default&waypoints=1MLyg8-aRsJ_7aF5K3VBfnHQ_Um5fJiG-XpdoemhPEpc&v=29.48204,-91.33543,9.696,latLng&startDwell=0&endDwell=1.0&t=1.02&ps=0&l=blsat,wc&bt=19840101&et=20161231&disableUI=true																				
Pearl River Delta			China	On China's Pearl River Delta, the construction of new housing, port infrastructure and other developments has lead to decreased surface water, represented in red. 	https://earthtime.org/#theme=default&story=default&waypoints=1MLyg8-aRsJ_7aF5K3VBfnHQ_Um5fJiG-XpdoemhPEpc&v=22.60664,113.79401,8.699,latLng&startDwell=0&endDwell=1.0&t=0.00&ps=0&l=blsat,wc&bt=19840101&et=20161231&disableUI=true																				
Palm Islands			Dubai	Notice a similar water decrease as a result of the artificial Palm Islands in Dubai. 500 km (310 mi) of new coastline is built with millions of tonnes of rock to make breakwaters and subsequent infilling using sand dredged from the seabed.	https://earthtime.org/#theme=default&story=default&waypoints=1MLyg8-aRsJ_7aF5K3VBfnHQ_Um5fJiG-XpdoemhPEpc&v=25.0355,55.01616,10,latLng&startDwell=0&endDwell=1.0&t=1.42&ps=0&l=blsat,wc&bt=19840101&et=20161231&disableUI=true																				
																									
##Coral Bleaching	https://earthtime.org/stories/Coral_Bleaching	https://earthtime.org/m/stories/Coral_Bleaching	Coral Bleaching	Rising Water Temperatures Threaten Earth's Coral Reefs	https://earthtime.org/#theme=coral_bleaching&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=3.13745,21.28147,0.349,latLng&t=3.24&ps=50&l=blsat,cb&story=default&bt=19840101&et=20161231			Story by: Naomi Oreskes <br>Data from: NOAA, UNEP-WCMC, USGS, Google		TRUE															
Coral Reefs			Coral Reefs	Corals occupy less than 1% of the ocean floor, but provide a habitat for a quarter of the world's fish. The purple lines represent locations of Earth's Coral Reefs.	https://earthtime.org/#theme=coral_bleaching&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=3.13745,21.28147,0.349,latLng&t=3.24&ps=0&l=blsat,cb&story=default&bt=19840101&et=20161231&disableUI=true																				
Temperature Anomalies			Temperature Anomalies	Water temperature anomalies put corals at a high risk for bleaching events. This data visualizes coral reef conditions to identify areas at risk for coral bleaching (2013-2017). Observe water temperatures in red (highest risk) and orange (elevated risk).	https://earthtime.org/#theme=coral_bleaching&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=1.4236,-3.4239,0.028,latLng&t=30.00&ps=100&l=blsat,crw&story=default&bt=20160101&et=20161231																				
Coral Reef Watch				When water temperatures rise, corals become stressed and lose their main source of food, the algae that lives inside their tissues. Corals can recover but often die after a bleaching event. 	https://earthtime.org/#theme=coral_bleaching&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=1.4236,-3.4239,0.028,latLng&t=30.00&ps=100&l=blsat,crw&story=default&bt=20160101&et=20161231																				
Great Barrier Reef			Great Barrier Reef	Notice the incidents of coral bleaching (yellow/orange) at the Great Barrier Reef.	https://earthtime.org/#theme=coral_bleaching&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=-18.07751,147.12775,3.77,latLng&t=0.00&ps=50&l=blsat,cb&bt=19840101&et=20161231&story=default&startDwell=0																				
Bleaching Event				The largest events were in 1998 and 2002. Bleaching events in 2016 and 2017 have affected more than 1,400 km (900 mi) of the reef.	https://earthtime.org/#theme=coral_bleaching&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=-18.07751,147.12775,3.77,latLng&t=3.26&ps=50&l=blsat,cb&startDwell=0&bt=19840101&et=20161231&story=default&startDwell=0																				
Environmental Threat				Notice how the environmental threats (represented in dark red) increase near the Great Barrier Reef in 2014 and 2016, leading to coral bleaching.	https://earthtime.org/#theme=big_picture_on_nature&story=default&v=-18.17057,139.33191,2.516,latLng&t=11.86&ps=100&l=blsat,crw&bt=20140101&et=20161231&startDwell=0&rebuild=1																				
Florida			Florida Reefs	In the United States, Florida's coral reef system (represented in purple) spans 482 km (300 mi) across the coast and is the only tropical reef in the United States.	https://earthtime.org/#theme=coral_bleaching&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=23.37254,-78.52711,4.08,latLng&t=0.00&ps=0&l=blsat,cb&startDwell=0&disableUI=true																				
Bleaching Event				Notice an increase in bleaching events in 1999 after back to back bleaching events in 1997 and 1998, represented by yellow/orange dots.	https://earthtime.org/#theme=coral_bleaching&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=26.18324,-81.15375,6.099,latLng&t=0.00&ps=50&l=blsat,cb&story=default&bt=19840101&et=20161231&startDwell=0																				
Warm Waters				Scientists attribute bleaching events in Florida and the Caribbean to specific patterns of warm waters. Notice another increase in bleaching events between 2003 and 2005. 	https://earthtime.org/#theme=coral_bleaching&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=23.41354,-77.7901,4.08,latLng&t=0.14&ps=50&l=blsat,cb&startDwell=0&story=default&bt=20000609&et=20161231																				
Global Temperatures			Global Temperature Anomaly	This layer visualizes average annual global temperatures over more than 150 years. Sweeping red (high temperatures) and blue (low temperatures) show seasonal land and ocean changes over time. Notice patterns at pre-industrial levels (1850-1875) and long-term trends.	https://earthtime.org/#theme=big_picture_on_nature&story=default&v=40.41104,-0.9119,0.701,latLng&t=162.08&ps=100&l=blsat,berkeley-earth-temperature-anomaly&bt=18500101&et=18750301&startDwell=0&bt=1875&et=1900																				
Rising Temperatures				Now we look at 2000-2017. Notice how the trend is towards rising temperatures, especially at the poles.	https://earthtime.org/#theme=big_picture_on_nature&story=default&v=40.41104,-0.9119,0.701,latLng&t=162.08&ps=100&l=blsat,berkeley-earth-temperature-anomaly&bt=20000101&et=20170301&startDwell=0&bt=2000&et=2017&rebuild=1																				
Solutions			Solutions	Taking steps to combat climate change can help reverse these trends and help preserve ecosystems around the world.	https://earthtime.org/#theme=big_picture_on_nature&story=default&v=40.41104,-0.9119,0.701,latLng&t=162.08&ps=100&l=blsat,berkeley-earth-temperature-anomaly&bt=20000101&et=20170301&startDwell=0&bt=2000&et=2017&rebuild=1																				
																									
##Sea Level Rise	https://earthtime.org/stories/Sea_Level_Rise	https://earthtime.org/m/stories/Sea_Level_Rise	Sea Level Rise	Predicted Sea Level Rise Impacts on Major Cities from Global Warming Up to 4°C	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=27.13084,-80.44975,4.9,latLng&t=0.04&ps=25&l=blsat,slr4&startDwell=0&endDwell=1.0			Story by: Climate Central <br> Data from: Climate Central, USGC, Google		TRUE															
Global Sea Levels			Global Sea Levels	The following maps show multi-century, locked-in sea levels corresponding to different amounts of near-term warming, indicated by the numbers at the bottom of the screen. Local projections are based on scientific models and past data.	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=-13.23744,-6.5063,0,latLng&t=0.00&ps=25&l=blsat,slr4&story=default&bt=0&et=0.83&startDwell=0&endDwell=1.0																				
Paris Accord				The amounts of warming depend on how quickly we can reduce carbon pollution and transition to clean energy. The Paris climate accord sets a goal to limit warming at 2°C.	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=31.10112,5.61193,1.04,latLng&t=0.00&ps=25&l=blsat,slr2&startDwell=0&endDwell=1.0																				
New York City			New York City	Here we see post-2100 sea level projections for New York City (US), based on 0.5 to 4°C warming.	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=40.93197,-72.9384,6.846,latLng&t=0.88&ps=25&l=blsat,slr4&story=default&bt=0&et=0.83&startDwell=0&endDwell=1.0																				
Manhattan				Notice the impact of a 2°C temperature rise on the city compared to a 3 or 4°C rise, which leaves far larger parts of Manhattan underwater.	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=40.77696,-73.96489,10,latLng&t=0.84&ps=25&l=blsat,slr2&story=default&bt=0&et=0.83&startDwell=0&endDwell=1.0																				
Shanghai			Shanghai	In greater Shanghai, China, 22.4 million people live on at-risk land after 4°C warming, compared to 11.6 million after 2°C warming.	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=31.10112,121.5014,7.5,latLng&t=0.83&ps=25&l=blsat,slr4&startDwell=0&endDwell=1.0&story=default&bt=0&et=0.83																				
Sydney			Sydney	The Sydney Opera House (Australia) sits on land that could be spared from inundation if warming is held at 2°C. An additional 128,000 people live on land at risk after 2°C warming.	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=-33.86882,151.2093,10,latLng&t=0.00&ps=25&l=blsat,slr4&story=default&bt=0&et=0.83&startDwell=0&endDwell=1.0																				
Washington D.C.			Washington D.C.	Long-term sea level rise is likely to impact the US capital as well. Higher temperatures cause threats for places near the Potomac and Anacostia Rivers, such as the Washington National Airport and the National Mall.	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=38.82099,-76.95863,9.021,latLng&t=0.00&ps=25&l=blsat,slr4&story=default&bt=0&et=0.83&startDwell=0&endDwell=1.0																				
London			London	In greater London, 1.2 million people live on at-risk land after 4°C warming, compared to 733,000 after 2°C warming. Rising temperatures increase the risk of eventual inundation for locations near the River Thames, such as the Palace of Westminster. 	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=51.50954,0.10991,8.53,latLng&t=0.23&ps=25&l=blsat,slr4&story=default&bt=0&et=0.83&startDwell=0&endDwell=1.0																				
Mumbai			Mumbai	Greater Mumbai, one of India's most populous locations, has 10.8 million people living on at-risk land after 4°C warming, compared to 5.8 million after 2°C warming. The Gateway of India is also under threat.	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=19.08702,73.40081,6.624,latLng&t=0.85&ps=25&l=blsat,slr4&story=default&bt=0&et=0.83&startDwell=0&endDwell=1.0																				
Durban			Durban	In greater Durban, South Africa, 537,000 people live on at-risk land after 4°C warming, compared to 179,000 after 2°C warming.	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=-29.85868,31.04737,9.76,latLng&t=0.00&ps=25&l=blsat,slr4&story=default&bt=0&et=0.83&startDwell=0&endDwell=1.0																				
Florida			Florida	Due to its near sea level elevations, Florida will experience large impacts at all projections of multi-century sea level rise. See how Miami and Fort Lauderdale are completely submerged	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=27.13084,-80.44975,4.9,latLng&t=0.04&ps=25&l=blsat,slr2&startDwell=0&endDwell=1.0&rebuild=1																				
Sea Wall			Sea Wall	Levees can be used to protect some areas from rising seas, but in much of Florida, the limestone ground is porous, making them likely ineffective.	https://earthtime.org/#theme=sea_level_rise&waypoints=1heCve9RLJVh8GYRQxL4QTdS9i9uVID0I5g25c2rnOtw&v=27.13084,-80.44975,4.9,latLng&t=0.83&ps=25&l=blsat,slr2&startDwell=0&endDwell=1.0&rebuild=1																				
Netherlands			Netherlands	Much of the Netherlands sits below sea level and is gradually sinking. Currently much of it is protected by large, engineered structures.	https://earthtime.org/#theme=big_picture_on_nature&v=52.32083,6.06291,5.644,latLng&t=0.84&ps=25&l=blsat,slr2&bt=0&et=0.83&startDwell=0&endDwell=1.0&rebuild=1																				
Solutions				While massive storm barriers such as the Maeslantkering in Rotterdam will be critical to hold back rising tides, the Dutch believe that climate adaptation through smart city planning, crisis management, public awareness and education will play an even more important role for protection against climate change.	https://earthtime.org/#theme=big_picture_on_nature&v=52.32083,6.06291,5.644,latLng&t=0.84&ps=25&l=blsat,slr2&bt=0&et=0.83&startDwell=0&endDwell=1.0&rebuild=1																				
																									
#P4 Pittsburgh 2018			P4 Pittsburgh 2018	Explore trends in Pittsburgh through the lens of demographic data.	https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990																				
##Pittsburgh	https://earthtime.org/stories/Pittsburgh	https://earthtime.org/m/stories/Pittsburgh	Pittsburgh, Pennsylvania, USA	Join us in exploring Pittsburgh through the lens of demographic data.	https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&bt=19900101&et=19900101&t=0.0&l=total_race_1990,bdrk_detailed&ps=0		US Census / ACS / NHGIS / Allegheny County	Story by: Anne Wright, CMU CREATE Lab<br>Data from: US Census, ACS, NHGIS, Allegheny County		TRUE															
Race 1990			Pittsburgh neighborhoods have historically shown marked racial clustering. In 1990, areas with a high density of African Americans (green) or Whites (blue) show surprisingly sharp boundaries.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&ps=0&l=total_race_1990,bdrk_detailed&bt=19900101&et=19900101&t=0	Race 1990		Pittsburgh neighborhoods have historically shown marked racial clustering. In 1990, areas with a high density of African Americans (green) or Whites (blue) show surprisingly sharp boundaries.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&ps=0&l=total_race_1990,bdrk_detailed&bt=19900101&et=19900101&t=0	Race 1990		Pittsburgh neighborhoods have historically shown marked racial clustering. In 1990, areas with a high density of African Americans (green) or Whites (blue) show surprisingly sharp boundaries.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&ps=0&l=total_race_1990,bdrk_detailed&bt=19900101&et=19900101&t=0	Race 1990		Pittsburgh neighborhoods have historically shown marked racial clustering. In 1990, areas with a high density of African Americans (green) or Whites (blue) show surprisingly sharp boundaries.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&ps=0&l=total_race_1990,bdrk_detailed&bt=19900101&et=19900101&t=0	Race 1990		Pittsburgh neighborhoods have historically shown marked racial clustering. In 1990, areas with a high density of African Americans (green) or Whites (blue) show surprisingly sharp boundaries.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&ps=0&l=total_race_1990,bdrk_detailed&bt=19900101&et=19900101&t=0
Race 2016			By 2016, these sharp racial dividing lines have faded a bit.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,total_race_2016	Race 2016		By 2016, these sharp racial dividing lines have faded a bit.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,total_race_2016	Race 2016		By 2016, these sharp racial dividing lines have faded a bit.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,total_race_2016	Race 2016		By 2016, these sharp racial dividing lines have faded a bit.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,total_race_2016	Race 2016		By 2016, these sharp racial dividing lines have faded a bit.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,total_race_2016
Public housing 1990			Some of this change relates to public housing developments present in 1990,		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4089,-79.971,12.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Public housing 1990		Some of this change relates to public housing developments present in 1990,		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4089,-79.971,12.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Public housing 1990		Some of this change relates to public housing developments present in 1990,		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4089,-79.971,12.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Public housing 1990		Some of this change relates to public housing developments present in 1990,		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4089,-79.971,12.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Public housing 1990		Some of this change relates to public housing developments present in 1990,		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4089,-79.971,12.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990
